"Parameter","Group","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept","HC",4.74271187828499,0.0992912224896555,4.54933008950525,4.93693195669019,1.00088462401384,7001.98452544106,15948.0912298338
"event_categoryLeisureandRecreation","HC",-0.0106522201926923,0.0322536378274539,-0.0738673253399269,0.0526287739371451,1.00005682850568,118860.40949784,59773.8042071477
"event_categorySocialandPersonalRelationships","HC",-0.263064255471429,0.0325334120796959,-0.326626945063441,-0.199539641980469,1.00008029271917,116095.926780754,61149.7036176906
"event_categoryWorkandProfessionalEngagements","HC",-0.300722784355157,0.0390709452822279,-0.377880774540881,-0.224330818340536,1.00001271167101,123731.077914835,59775.2502341144
"event_categoryHealthandWellMbeing","HC",-0.434262538187801,0.053847538725268,-0.539820391773925,-0.327632945184471,1.00009876288676,134223.27312665,56655.2631677846
"event_categoryIndeterminate","HC",-0.0368255118174572,0.0486005433605861,-0.131591333604815,0.0579495270035489,0.999983126422373,121879.282218605,60017.3014233764
"groupBPD","BPD",-1.92564338529937,0.114026899572213,-2.14891609818905,-1.70300491941887,1.00063585266868,7226.61275184007,15021.2962137865
"sentiment_mean","HC",1.07325327171689,0.275767717049933,0.531612562542493,1.61292447096999,1.0008302185463,9527.96810557135,18893.5577847461
"sentiment_within","HC",0.301304539893897,0.0304672244882603,0.241256275632363,0.360856815350718,1.00010326937617,106608.424769566,57976.3686865791
"groupBPD:sentiment_within","BPD",0.239555406186922,0.0395525078883424,0.161404731005058,0.317499476706488,1.0000706394668,105174.852551489,58498.6188383199
