"Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","NA","NA","NA","NA","NA","NA","NA"
"event_categoryHealthandWellMbeing",-0.208207294462288,0.0678286639686761,-0.340336729143008,-0.0748756560002612,1.00005826778684,12095.1883677879,9564.36542083294,NA,NA,NA,NA,NA,NA,NA
"event_categoryIndeterminate",0.0181363985627271,0.0554723265028758,-0.0912339245191366,0.126241360568098,0.999852107808983,11003.0728824424,10016.682695423,NA,NA,NA,NA,NA,NA,NA
"event_categoryLeisureandRecreation",0.0294438542574079,0.037592423197884,-0.0452706730179836,0.103832134426413,1.00013863301282,11494.8844399671,9817.42920623872,NA,NA,NA,NA,NA,NA,NA
"event_categorySocialandPersonalRelationships",-0.103408901055198,0.0406832932931521,-0.18233194653864,-0.025107741123444,1.0004014808369,9687.01190251938,9894.44196735089,NA,NA,NA,NA,NA,NA,NA
"event_categoryWorkandProfessionalEngagements",-0.278617064185931,0.0437185279968331,-0.364371436983612,-0.191527704293664,1.00020420646275,12565.8964353155,9542.38993469851,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnegative",-0.862150115975409,0.0514661611127831,-0.96329971909356,-0.761594322106305,1.00032376403601,10948.0587302174,9658.33966465307,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnone",-0.254411303234388,0.128119733845797,-0.50582463576234,0.000743254913221945,0.999930844662646,13809.000873544,9483.21945254695,NA,NA,NA,NA,NA,NA,NA
"event_sentimentpositive",0.189131075480971,0.0332533400832302,0.124865870392746,0.253621254158376,0.999887752953553,12749.030680583,9691.95640160993,NA,NA,NA,NA,NA,NA,NA
"group1",-2.15796366631462,0.13842927556015,-2.4289816542533,-1.88083886598569,1.01696012312489,498.747507668121,993.004380277717,NA,NA,NA,NA,NA,NA,NA
"Intercept",4.99113422883804,0.0939488968418556,4.8094574379851,5.1764827500295,1.01392311948451,555.918146546957,967.907884007851,NA,NA,NA,NA,NA,NA,NA
"sigma",NA,NA,NA,NA,NA,NA,NA,1.06960267570625,0.00900351939529724,1.05217136218475,1.08758896176281,1.00095379210033,17971.510064828,9181.55155775377
