"Parameter","Group","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept","HC",8.14027893660686,0.155270394618051,7.83652758590209,8.44441198295124,1.00133315727021,2278.63219524869,5238.43169783503
"event_categoryLeisureandRecreation","HC",-0.105497171265723,0.0372322751702481,-0.178607940774748,-0.0328356233016252,1.0000215438665,58729.0551482222,55643.1133355071
"event_categorySocialandPersonalRelationships","HC",-0.277980548042319,0.0374906343969443,-0.351886582003882,-0.204150483386951,1.00001057333408,59491.9692967402,54483.7864885473
"event_categoryWorkandProfessionalEngagements","HC",-0.111780283495549,0.0451840491591878,-0.200682613539325,-0.023435765769291,1.00008377728129,62990.0915226888,55547.1831465529
"event_categoryHealthandWellMbeing","HC",-0.499571511826392,0.0626711171313488,-0.622718094122725,-0.376843796448228,1.00005040220172,71491.6991426832,56787.3296288756
"event_categoryIndeterminate","HC",-0.204305296666555,0.0564491131413354,-0.315410461079039,-0.0934216192459206,1.00002281415063,63302.9860791622,55880.284430939
"groupBPD","BPD",-3.93188842572069,0.182404320313832,-4.29190431734269,-3.57383304643199,1.00061732630885,2076.67501711032,4812.04396794644
"sentiment_mean","HC",0.762852385380546,0.435333216975494,-0.0789255964293134,1.62441096140643,1.00202170361679,3154.23303576786,7360.27769688624
"sentiment_within","HC",0.230318609859662,0.0352884266886161,0.161194334975754,0.299281761157666,1.00002159034434,47767.0944690045,54475.3011280307
"groupBPD:sentiment_within","BPD",0.68618639776331,0.0459215637928529,0.596523934077509,0.775955302748344,1.00004357740436,49396.9446002635,54545.6230387913
