"Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","NA","NA","NA","NA","NA","NA","NA"
"event_categoryHealthandWellMbeing",-0.341572991966485,0.0692494831200537,-0.47766620665962,-0.204430874815633,1.00011325978784,11873.7220756787,9590.33624837185,NA,NA,NA,NA,NA,NA,NA
"event_categoryIndeterminate",-0.0195524399358776,0.0579169177293871,-0.1339306805828,0.0951311275620021,1.00017983941621,11393.572254816,9417.39134680119,NA,NA,NA,NA,NA,NA,NA
"event_categoryLeisureandRecreation",0.0681549869117147,0.038465009911818,-0.00773098273444083,0.142930226043306,1.00005332024464,10753.0110637055,9271.73414131569,NA,NA,NA,NA,NA,NA,NA
"event_categorySocialandPersonalRelationships",-0.106231750217512,0.0414889114194506,-0.188078655799634,-0.0246938437849536,0.99978548681299,10116.7867411622,9075.94193945114,NA,NA,NA,NA,NA,NA,NA
"event_categoryWorkandProfessionalEngagements",-0.205127304211599,0.0448030828798538,-0.292744176392613,-0.116748564732695,1.00037695515606,12233.4198258748,9419.47114341973,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnegative",-0.774854247092962,0.082142625216275,-0.934420612576771,-0.61399292058612,0.999905702027791,8130.34599163401,8027.09557375275,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnegative:group1",-0.0965282162072118,0.102333945694896,-0.2971893085747,0.102500783941649,0.9999725355768,8016.44547446314,8545.11013597382,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnone",-0.271350876736684,0.306100570834809,-0.862875509697304,0.332797983558267,1.00007359879657,7645.68324454173,8547.8356593533,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnone:group1",0.0366165264275669,0.338009858137663,-0.627220895538222,0.693490657503913,1.00015726287413,7550.59520682523,8318.62982913186,NA,NA,NA,NA,NA,NA,NA
"event_sentimentpositive",0.219467592413727,0.0424822638568746,0.135226492360198,0.301957511579471,0.999981050367969,8348.73656504179,9480.50989327776,NA,NA,NA,NA,NA,NA,NA
"event_sentimentpositive:group1",0.269594474277953,0.0630900871998268,0.144608693999167,0.391078604680571,1.00011631245923,8793.96848403409,8721.50722420633,NA,NA,NA,NA,NA,NA,NA
"group1",-2.32295841106073,0.131109786741998,-2.58477430398306,-2.0739588909865,1.0015778143854,706.118473806041,1465.65595818057,NA,NA,NA,NA,NA,NA,NA
"Intercept",5.06754908107338,0.0891979030207264,4.89596354630602,5.24541403179237,1.00608656852289,666.64973101511,1377.99231660838,NA,NA,NA,NA,NA,NA,NA
"sigma",NA,NA,NA,NA,NA,NA,NA,1.0893135443553,0.00913807711635618,1.07130933993249,1.10741031751017,1.0000584678438,16862.5128572794,9440.9984557286
