"Parameter","Group","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept","HC",5.14290028341118,0.0812602078549389,4.98323057437059,5.30291923482075,1.00026121618949,3808.63478905639,7981.93014970374
"event_subcategoryEntertainmentandMediaConsumption","HC",-0.0379702988443797,0.0555814120737729,-0.146380362879396,0.0713508008045009,1.00015545944816,24429.3403388538,41189.7160406095
"event_subcategoryPersonalCareandHygiene","HC",0.126359427562087,0.0814583902176423,-0.0326359102790628,0.286686310240889,1.00009027904717,37161.533245853,48009.6062029289
"event_subcategoryCommuting","HC",-0.130417767684294,0.0642049956230214,-0.255826593282817,-0.00546477911246943,1.00011662179053,28588.0080728202,42451.5998643874
"event_subcategoryFamilyDynamics","HC",-0.148523189983468,0.0573697654208734,-0.260480241565213,-0.0362268637855122,1.00026515357888,23651.8361086115,41346.9135729256
"event_subcategorySocializingandLeisure","HC",0.112582520187048,0.0680485705001333,-0.0204441728128389,0.245995576817992,1.00013113290627,30239.4159017582,44371.4237574549
"event_subcategoryTravelandExcursions","HC",0.0309751221329581,0.137495319751028,-0.240031482365817,0.299395770694067,1.00011817242277,60598.7997552529,52237.5502038644
"event_subcategoryCulturalandCommunityEvents","HC",0.347934146068527,0.115408815331221,0.122531625513936,0.575081797745386,1.00005396661153,49885.8881062563,50767.550316617
"event_subcategoryCompanionAnimalCare","HC",-0.12597284508782,0.106638127036449,-0.334112356762835,0.0833784372753374,1.0000371910916,46961.0006328944,46401.3854756678
"event_subcategoryOutdoorandRecreationalActivities","HC",0.146111017462323,0.089504721062136,-0.0288637928506154,0.322457029589145,1.00014183364771,43773.1656445702,48598.1626508057
"event_subcategoryRestandSleep","HC",-0.480637604364128,0.0550808931352006,-0.589294342796489,-0.372462854222711,1.00032796570524,22494.8256783641,39466.9845334998
"event_subcategoryMedicalTreatmentandHealthcareInteractions","HC",-0.762039650547946,0.134828701467899,-1.02557724546125,-0.498510104736727,1.00008645445242,57225.4662650571,52988.9195228911
"event_subcategoryHealthcareJourneysandVisits","HC",-0.946983017277183,0.089529076340914,-1.12303835231289,-0.772039693923206,1.00016575621531,39147.4847407347,49871.8963972898
"event_subcategoryShoppingandErrands","HC",-0.072714919632227,0.0622879020721063,-0.194958082461701,0.0491303229326695,1.0001569172159,27993.3197288877,44244.0072354999
"event_subcategoryHouseholdChores","HC",-0.0807148571560268,0.059057751475281,-0.196416680304768,0.0348149614340939,1.0001709262884,25504.4177216471,41033.3145850183
"event_subcategoryEmotionalandConflictResolution","HC",-1.34967063005708,0.0798712116809381,-1.50638702225058,-1.19294299950505,1.0000594793115,33276.5004392342,46114.4848084181
"event_subcategoryWorkMRelatedTasksandProjects","HC",-0.348650060654997,0.0592672927295959,-0.465801386218098,-0.23228762551116,1.00018642173464,24684.2907532377,40937.9381114179
"event_subcategoryMentalHealthandEmotionalState","HC",-1.19276346448645,0.0921583207024304,-1.3732771487939,-1.01300527919893,1.00008483997856,37744.4642382551,46075.1958821258
"event_subcategoryIndeterminate","HC",-0.260772528444089,0.0560688164927533,-0.370240663555006,-0.150984023908938,1.00018317412862,22652.2018955429,41583.9498072283
"event_subcategoryRomanticPartnerships","HC",0.0415467063536857,0.0760050869041638,-0.107378311875738,0.18976769938312,1.0001611008874,32236.290521701,48209.0046954531
"event_subcategoryMoodandEmotionalFluctuations","HC",-1.13883047538967,0.139947909684128,-1.41335819981464,-0.864929543418147,1.00005184882985,51738.0633835192,50872.5594785404
"event_subcategoryFriendshipActivities","HC",0.128601565697292,0.0670297493241844,-0.00269136930214,0.260500940583163,1.00024192161049,28474.9935319996,42357.8291254774
"event_subcategoryAcquaintanceandCasualInteractions","HC",-0.407122487155564,0.0973729909239747,-0.596781594612459,-0.216244933273191,1.00015726616359,43184.9470243405,50356.5463584142
"event_subcategoryEducationalandAcademicWork","HC",-0.366322584252264,0.0789085643696097,-0.520677757253739,-0.211920615068316,1.00007003495116,36558.8642789967,47490.7848508185
"event_subcategoryProfessionalCommunicationandMeetings","HC",-0.317507809612392,0.078495624120481,-0.471520317399344,-0.1646848561948,1.00016095596972,36833.9329264995,46188.0306996693
"event_subcategoryRelaxation","HC",0.172719142957636,0.185745842132228,-0.190854450983044,0.536803628295103,1.0000441527482,66259.7978994534,53613.1671739207
"event_subcategoryLeisureandEntertainmentatHome","HC",0.0501625363618963,0.0908203105349207,-0.126849587461994,0.227564301640262,1.00007588592065,40735.7932787016,46906.3065059044
"event_subcategoryReadingandIntellectualActivities","HC",-0.253656058144414,0.106760090385289,-0.463112633848676,-0.0452455509450554,1.0001064031309,47535.1887347094,50294.4139992586
"event_subcategoryGamesandHobbies","HC",-0.0900355236806994,0.103273171313567,-0.292144340417168,0.111167089619918,1.00009329730924,43915.2351544167,49745.5962122528
"event_subcategoryFinancialandAdministrativeTasks","HC",-0.356691046764772,0.193828471817843,-0.737390720869534,0.0215772444257164,1.00008882981867,64542.6929584164,52534.8024320246
"event_subcategoryPhysicalHealthandSymptoms","HC",-1.01601090123407,0.171593198218832,-1.35390460531804,-0.679161982601388,1.00012302389841,61479.414077766,53013.770334393
"event_subcategorySportsandPhysicalActivities","HC",0.310962807467538,0.125068012855414,0.0648649422029331,0.554872368112421,1.00010570212481,56288.6309604939,52634.9254089302
"groupBPD","BPD",-2.12723925968537,0.10706398156721,-2.34082815291064,-1.91900598884797,1.0003855109362,3550.60655468358,7579.93082355416
