"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",8.29776978014598,8.17517238176136,8.42295149834515
"event_subcategoryEntertainment and Media Consumption",-0.141382036820342,-0.276461449283154,-0.00708059537616135
"event_subcategoryPersonal Care and Hygiene",0.187425903790923,-0.00216994557930493,0.380089832790864
"event_subcategoryCommuting",-0.00204597059639612,-0.131719531976818,0.130837526202322
"event_subcategoryFamily Dynamics",-0.113575718546346,-0.258598451701886,0.0299633882442112
"event_subcategorySocializing and Leisure",0.188718362593615,0.0339066395323567,0.347833203106533
"event_subcategoryTravel and Excursions",0.328099324872583,-0.000860214034814611,0.676731834560024
"event_subcategoryCultural and Community Events",0.26515088053065,-0.0508728181963129,0.620686775855356
"event_subcategoryCompanion Animal Care",-0.0611218260478757,-0.326759638053708,0.226773578864304
"event_subcategoryOutdoor and Recreational Activities",0.214105684401696,0.0581351930718775,0.376268627948137
"event_subcategoryRest and Sleep",-0.167381342659395,-0.320961264937603,-0.0150560515725237
"event_subcategoryMedical Treatment and Healthcare Interactions",-0.292557728398658,-0.706405543869537,0.158459698641078
"event_subcategoryHealthcare Journeys and Visits",-0.712100821556201,-0.991642884960806,-0.417181030642596
"event_subcategoryShopping and Errands",0.011167740550272,-0.118672820592174,0.144532363511649
"event_subcategoryHousehold Chores",0.0977528631705441,-0.0422811233514476,0.24170159643343
"event_subcategoryEmotional and Conflict Resolution",-1.41546448289041,-1.70112518745586,-1.14057786508032
"event_subcategoryWork-Related Tasks and Projects",-0.111486257151954,-0.272423844040951,0.0548885137780366
"event_subcategoryMental Health and Emotional State",-1.70789029063956,-2.19004585431061,-1.26467091012466
"event_subcategoryIndeterminate",-0.32823987331152,-0.469761344763856,-0.191215768670909
"event_subcategoryRomantic Partnerships",-0.00675357405525522,-0.218168605652834,0.19918006935462
"event_subcategoryMood and Emotional Fluctuations",-1.26259353429107,-1.80126509879741,-0.746567630469347
"event_subcategoryFriendship Activities",0.1838485185603,0.00825383347395185,0.354157623330591
"event_subcategoryAcquaintance and Casual Interactions",-0.186343716164017,-0.455600698808335,0.080926932743083
"event_subcategoryEducational and Academic Work",-0.210391672666499,-0.420503864557556,-0.0216370979633714
"event_subcategoryProfessional Communication and Meetings",-0.213781893686927,-0.377640915598222,-0.0509539404604212
"event_subcategoryRelaxation",0.352272225737829,0.0808087522462562,0.655737037890488
"event_subcategoryLeisure and Entertainment at Home",-0.00114771903076707,-0.199651366352016,0.196214766941121
"event_subcategoryReading and Intellectual Activities",-0.415474973800585,-0.732484155803334,-0.127063285704509
"event_subcategoryGames and Hobbies",-0.137872251164734,-0.497824264167266,0.180770843726737
"event_subcategoryFinancial and Administrative Tasks",-0.444607700577075,-1.2271720767633,0.422329612495985
"event_subcategoryPhysical Health and Symptoms",-0.684599094366148,-1.29832224553017,-0.0227937047118219
"event_subcategorySports and Physical Activities",0.498274717709693,0.205236018620343,0.817059834017813
"groupBPD",-3.97540453473454,-4.24455866696609,-3.70998708435178
