"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",5.14161758758916,5.03370158513123,5.25271495051416
"event_subcategoryEntertainment and Media Consumption",-0.0361300896903483,-0.14670110705701,0.080813495577992
"event_subcategoryPersonal Care and Hygiene",0.126628698447367,-0.0216091441660252,0.276260817951958
"event_subcategoryCommuting",-0.129804770130828,-0.26751164335485,0.00262177201594843
"event_subcategoryFamily Dynamics",-0.147809655991903,-0.279772776152358,-0.0172937027201213
"event_subcategorySocializing and Leisure",0.111810174585523,-0.0371765841983051,0.254403167324617
"event_subcategoryTravel and Excursions",0.026107993838622,-0.21168154732238,0.256210419860581
"event_subcategoryCultural and Community Events",0.350405970277381,0.109993606935844,0.598537208836231
"event_subcategoryCompanion Animal Care",-0.124100506265602,-0.367479809100298,0.126914661202199
"event_subcategoryOutdoor and Recreational Activities",0.147460463391786,0.00521237489437573,0.288684888492645
"event_subcategoryRest and Sleep",-0.480199328835056,-0.622692906741096,-0.335196306966623
"event_subcategoryMedical Treatment and Healthcare Interactions",-0.748340759905973,-1.0960393533825,-0.391379915245979
"event_subcategoryHealthcare Journeys and Visits",-0.940981532359215,-1.16853710514835,-0.709627453277955
"event_subcategoryShopping and Errands",-0.0699152478496728,-0.19260957440023,0.0541904408572271
"event_subcategoryHousehold Chores",-0.0785123007135263,-0.187691930318965,0.0286982607945325
"event_subcategoryEmotional and Conflict Resolution",-1.3499207170079,-1.56659220132061,-1.13049799712754
"event_subcategoryWork-Related Tasks and Projects",-0.349584665926338,-0.485281964619628,-0.217986500179966
"event_subcategoryMental Health and Emotional State",-1.18187817676061,-1.50358774450964,-0.875489134472683
"event_subcategoryIndeterminate",-0.257365346718356,-0.381002113577724,-0.134648772150823
"event_subcategoryRomantic Partnerships",0.0418481691444275,-0.158180191479876,0.234866558777543
"event_subcategoryMood and Emotional Fluctuations",-1.14340313883957,-1.48592877767098,-0.810265813911238
"event_subcategoryFriendship Activities",0.130890744151375,-0.00278568005612098,0.26487769904304
"event_subcategoryAcquaintance and Casual Interactions",-0.404773703225542,-0.6100287134812,-0.193909654788784
"event_subcategoryEducational and Academic Work",-0.360279813939504,-0.515144833971397,-0.199274303483532
"event_subcategoryProfessional Communication and Meetings",-0.314693314150663,-0.465235548153374,-0.153786449209059
"event_subcategoryRelaxation",0.173323250278916,-0.0941579798240355,0.431592506072122
"event_subcategoryLeisure and Entertainment at Home",0.054263010832035,-0.118877140622736,0.222051171395705
"event_subcategoryReading and Intellectual Activities",-0.249607292927136,-0.458143806975318,-0.0531547314766057
"event_subcategoryGames and Hobbies",-0.086030780072322,-0.333920255689157,0.148783082820506
"event_subcategoryFinancial and Administrative Tasks",-0.32981521474088,-0.912609021616851,0.228688959761783
"event_subcategoryPhysical Health and Symptoms",-1.01105033260586,-1.5078570354359,-0.489356058944091
"event_subcategorySports and Physical Activities",0.31086243167138,0.104647143630357,0.523336801690712
"groupBPD",-2.12697737518391,-2.29248173265638,-1.95938719516781
