"model_label";"structure";"random_structure";"AIC";"BIC";"logLik";"n_obs";"cor_param"
"M1_self_esteem";"CAR1";"id";36754,3171247239;36863,6446906181;-18362,158562362;10813;NA
"M1_self_esteem";"CS";"id";37409,8188969874;37519,1464628816;-18689,9094484937;10813;NA
"M1_self_esteem";"Independent";"id";38192,5562963751;38294,5953578763;-19082,2781481875;10813;NA
"M1_valence";"CAR1";"id";33207,886670323;33280,7763372474;-16593,9433351615;10818;NA
"M1_valence";"CS";"id";34164,2684763461;34237,1581432704;-17072,134238173;10818;NA
"M1_valence";"Independent";"id";34942,4375695774;35008,0382698093;-17462,2187847887;10818;NA
"M1_calmness";"CAR1";"id";33248,1093333412;33357,4438337276;-16609,0546666706;10818;NA
"M1_calmness";"CS";"id";34067,4110566248;34176,7455570112;-17018,7055283124;10818;NA
"M1_calmness";"Independent";"id";34611,5912203172;34713,6367540113;-17291,7956101586;10818;NA
"M2_self_esteem";"CAR1";"id";35406,8170500591;35501,3506020819;-17690,4085250295;10634;NA
"M2_self_esteem";"CS";"id";36027,0543085837;36121,5878606065;-18000,5271542918;10634;NA
"M2_self_esteem";"Independent";"id";36780,5240373214;36867,7857776501;-18378,2620186607;10634;NA
"M2_valence";"CAR1";"id";31946,7961814332;32041,3358444889;-15960,3980907166;10639;NA
"M2_valence";"CS";"id";32821,0461434785;32915,5858065342;-16397,5230717392;10639;NA
"M2_valence";"Independent";"id";33546,2839024822;33633,5512837644;-16761,1419512411;10639;NA
"M2_calmness";"CAR1";"id";32215,1391222821;32309,6787853378;-16094,5695611411;10639;NA
"M2_calmness";"CS";"id";33019,5060478515;33114,0457109072;-16496,7530239257;10639;NA
"M2_calmness";"Independent";"id";33517,5220034595;33604,7893847417;-16746,7610017298;10639;NA
