"term";"b_lmer";"SE_lmer";"t_lmer";"df_lmer";"p_lmer";"b_best";"SE_best";"t_best";"df_best";"p_best";"sig_lmer";"sig_best";"sig_changed";"sign_changed";"delta_b";"delta_SE"
"(Intercept)";4,73500152039646;0,0992978391185575;47,6848394932649;276,465046446972;2,07790581235482e-135;4,70237737198992;0,0987438292080411;47,6219872138297;10368;0;TRUE;TRUE;FALSE;FALSE;-0,0326241484065388;-0,000554009910516406
"event_categoryLeisure and Recreation";-0,0110197788221472;0,032348442161381;-0,340658717571974;10424,5041289648;0,733367384925085;-0,00518569198576139;0,0298578245208826;-0,173679498388588;10368;0,862120741215372;FALSE;FALSE;FALSE;FALSE;0,00583408683638583;-0,00249061764049837
"event_categorySocial and Personal Relationships";-0,263104940772357;0,032500729637121;-8,09535489541285;10449,7339212463;6,34459888497147e-16;-0,217146290846337;0,0296543162944486;-7,3225863206628;10368;2,6130347305109e-13;TRUE;TRUE;FALSE;FALSE;0,0459586499260196;-0,00284641334267238
"event_categoryWork and Professional Engagements";-0,297319682132345;0,0390764001387795;-7,60867636415884;10469,7724215661;3,00722635326453e-14;-0,189974829980733;0,0377952684095697;-5,02641833157697;10368;5,08072131809163e-07;TRUE;TRUE;FALSE;FALSE;0,107344852151612;-0,00128113172920979
"event_categoryHealth and Well-being";-0,440099744746558;0,0539510560770891;-8,15738887701684;10454,3965119828;3,81614157081015e-16;-0,322041244850582;0,0508152101974553;-6,33749705254018;10368;2,4323073591824e-10;TRUE;TRUE;FALSE;FALSE;0,118058499895976;-0,00313584587963382
"event_categoryIndeterminate";-0,0341514386458195;0,0486869394557747;-0,701449691181377;10555,1110611243;0,48303788509617;0,00746112186133628;0,043957494650492;0,169734920533119;10368;0,865221921458909;FALSE;FALSE;FALSE;TRUE;0,0416125605071558;-0,00472944480528265
"groupBPD";-1,9184280408881;0,113123451370926;-16,9587120763994;264,753182910451;3,57019744623996e-44;-1,91981735430292;0,112632259942202;-17,0450042935131;261;2,67615500704181e-44;TRUE;TRUE;FALSE;FALSE;-0,00138931341481907;-0,000491191428723975
"sentiment_mean";1,09878126390911;0,281606881652248;3,90182675033482;266,550653766081;0,000120955003002149;1,12993369536288;0,280356227979413;4,03034989986329;261;7,31228323202757e-05;TRUE;TRUE;FALSE;FALSE;0,0311524314537639;-0,00125065367283494
"sentiment_within";0,301269798991302;0,0305384328557421;9,86526716725917;10378,8018202225;7,42057142510421e-23;0,265360124496905;0,0279764758712257;9,48511619970807;10368;2,95229359193219e-21;TRUE;TRUE;FALSE;FALSE;-0,0359096744943967;-0,00256195698451644
"groupBPD:sentiment_within";0,239322689835537;0,0397751126422803;6,01689533824579;10377,5094219091;1,83799987007532e-09;0,228502359285387;0,0364263987585785;6,2729879173569;10368;3,68313638783552e-10;TRUE;TRUE;FALSE;FALSE;-0,0108203305501499;-0,00334871388370177
