"term";"b_lmer";"SE_lmer";"t_lmer";"df_lmer";"p_lmer";"b_best";"SE_best";"t_best";"df_best";"p_best";"sig_lmer";"sig_best";"sig_changed";"sign_changed";"delta_b";"delta_SE"
"(Intercept)";4,77655838959544;0,0980304429131724;48,7252556211149;276,440020200994;1,01889812605921e-137;4,75092096924379;0,0973991927116055;48,7778269714314;10368;0;TRUE;TRUE;FALSE;FALSE;-0,0256374203516474;-0,000631250201566944
"event_categoryLeisure and Recreation";0,023375272954119;0,0324029600320617;0,721393136028003;10425,6274882523;0,470683845472912;0,0043575957158817;0,0292381017456523;0,149038256785247;10368;0,881526344162798;FALSE;FALSE;FALSE;FALSE;-0,0190176772382373;-0,00316485828640936
"event_categorySocial and Personal Relationships";-0,209557216733415;0,0325548250362264;-6,43705553632138;10451,5293077356;1,27155250827363e-10;-0,191721933901329;0,0290052922556021;-6,60989491889363;10368;4,03496112121281e-11;TRUE;TRUE;FALSE;FALSE;0,017835282832086;-0,00354953278062429
"event_categoryWork and Professional Engagements";-0,175026389158282;0,0391407542694524;-4,47171732954778;10472,0668717545;7,84106570098559e-06;-0,112720683961642;0,0371506955002523;-3,03414734081833;10368;0,00241814040008722;TRUE;TRUE;FALSE;FALSE;0,0623057051966397;-0,00199005876920008
"event_categoryHealth and Well-being";-0,492130333297339;0,0540406378133791;-9,1066714459743;10456,3286994464;1,00438152165015e-19;-0,347056944044629;0,0498599007997529;-6,96064248981316;10368;3,59216317218919e-12;TRUE;TRUE;FALSE;FALSE;0,145073389252709;-0,00418073701362616
"event_categoryIndeterminate";-0,00657155543981516;0,048762761887966;-0,134765857908408;10558,8210598877;0,892799569659751;0,037430791900225;0,04296771350403;0,871137625154625;10368;0,383699182610621;FALSE;FALSE;FALSE;TRUE;0,0440023473400402;-0,00579504838393599
"groupBPD";-2,01794431778586;0,111643462226986;-18,0748991256032;264,391350793376;4,24144808842384e-48;-2,02778219622684;0,111107718613825;-18,2505970019487;261;1,59213354467211e-48;TRUE;TRUE;FALSE;FALSE;-0,00983787844098671;-0,000535743613160472
"sentiment_mean";1,24869338861464;0,277936806352818;4,4927241015698;266,237244468501;1,04916572552048e-05;1,29194686488739;0,276571464780982;4,67129487096757;261;4,79660946376903e-06;TRUE;TRUE;FALSE;FALSE;0,043253476272743;-0,00136534157183626
"sentiment_within";0,378596771105278;0,0305909730597133;12,3760944238766;10378,5399784042;6,20625631088631e-35;0,312189843438746;0,0273745885469469;11,4043666045737;10368;5,99627602758688e-30;TRUE;TRUE;FALSE;FALSE;-0,0664069276665326;-0,00321638451276644
"groupBPD:sentiment_within";0,296200504821831;0,0398435819662477;7,43408323761525;10377,2073610593;1,13605083744226e-13;0,244011799895419;0,03564144631543;6,8462934342196;10368;8,00770581421282e-12;TRUE;TRUE;FALSE;FALSE;-0,052188704926412;-0,00420213565081767
