"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",5.06991310014029,4.95879493261707,5.18354565880385
"event_categoryLeisure and Recreation",0.0690045112830168,0.00195274462669222,0.135024613316477
"event_categorySocial and Personal Relationships",-0.105556206316638,-0.178861874014854,-0.0360779081489375
"event_categoryWork and Professional Engagements",-0.204975899421821,-0.284699757052126,-0.124748502619088
"event_categoryHealth and Well-being",-0.340422724545718,-0.459399092457758,-0.220955194997377
"event_categoryIndeterminate",-0.0202838365393175,-0.136341680996973,0.0912363673118008
"event_sentimentnegative",-0.778574445425184,-0.934495441377648,-0.625613237774725
"event_sentimentpositive",0.218516554774769,0.158386530540506,0.278183747232192
"event_sentimentnone",-0.260519603333029,-0.841994920820052,0.454258511382024
"event_sentimentneutral:groupBPD",-2.32568815200761,-2.5453228759919,-2.10481039289441
"event_sentimentnegative:groupBPD",-2.41958465792485,-2.68917571984322,-2.15225939110273
"event_sentimentpositive:groupBPD",-2.05653328334669,-2.28551234326886,-1.82866108477121
"event_sentimentnone:groupBPD",-2.29436590594523,-3.04143245716624,-1.62017660612676
