"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",5.03517629480428,4.9082475703653,5.166074642504
"event_subcategoryEntertainment and Media Consumption",0.1773929197794,0.0622635135289211,0.303036820538428
"event_subcategoryPersonal Care and Hygiene",0.0995084650502829,-0.029114012953667,0.228454146866558
"event_subcategoryCommuting",-0.0716725161965195,-0.189652616067522,0.0459341403558205
"event_subcategoryFamily Dynamics",-0.0229734959350964,-0.114480697864601,0.0661677692255817
"event_subcategorySocializing and Leisure",-0.0176847625408835,-0.145471967860809,0.110562959905114
"event_subcategoryTravel and Excursions",-0.0434395001109094,-0.313878733387938,0.232113324561903
"event_subcategoryCultural and Community Events",-0.0268389147440028,-0.261611845242753,0.223798986121949
"event_subcategoryCompanion Animal Care",0.0176364722633203,-0.237013656765281,0.299482453697269
"event_subcategoryOutdoor and Recreational Activities",0.0163600686652158,-0.133780041327995,0.164640210288377
"event_subcategoryRest and Sleep",0.0469210633071467,-0.0675370532662863,0.162567614245481
"event_subcategoryMedical Treatment and Healthcare Interactions",-0.2762353258877,-0.561385916513913,0.00471330506364988
"event_subcategoryHealthcare Journeys and Visits",-0.715565340441375,-0.952996077333287,-0.485486857069899
"event_subcategoryShopping and Errands",-0.198419862493301,-0.316822276087167,-0.0845741683831932
"event_subcategoryHousehold Chores",-0.143591465970201,-0.230984529214301,-0.0592695384684844
"event_subcategoryEmotional and Conflict Resolution",-1.18257749287154,-1.42097505410384,-0.940790972429931
"event_subcategoryWork-Related Tasks and Projects",-0.377317304139515,-0.499560554140134,-0.253266510262385
"event_subcategoryMental Health and Emotional State",-0.886123264810528,-1.1137570393423,-0.648554731192898
"event_subcategoryIndeterminate",-0.082556826774343,-0.207118020031376,0.0391708507448553
"event_subcategoryRomantic Partnerships",-0.0199365362932536,-0.206363015005162,0.178905512817825
"event_subcategoryMood and Emotional Fluctuations",-0.73046880654019,-1.09535361584588,-0.385008154446697
"event_subcategoryFriendship Activities",-0.000557744628943977,-0.122891563869563,0.116403250099185
"event_subcategoryAcquaintance and Casual Interactions",-0.259013538204855,-0.411353484923123,-0.107826652389679
"event_subcategoryEducational and Academic Work",-0.343281703497415,-0.471185620414707,-0.207994597608
"event_subcategoryProfessional Communication and Meetings",-0.317533493173602,-0.450274499838471,-0.185840765880647
"event_subcategoryRelaxation",0.375244644729352,0.0802268217185635,0.683588603828737
"event_subcategoryLeisure and Entertainment at Home",0.290611282789323,0.13974854098883,0.445181166926714
"event_subcategoryReading and Intellectual Activities",0.0506297778260128,-0.094484081446725,0.202273029944125
"event_subcategoryGames and Hobbies",-0.283240742962267,-0.50378661937911,-0.0363664380113103
"event_subcategoryFinancial and Administrative Tasks",-0.380425363789464,-0.897969464575708,0.119374935938566
"event_subcategoryPhysical Health and Symptoms",-0.789851162627173,-1.22763930964445,-0.270607094493285
"event_subcategorySports and Physical Activities",0.0946799758304972,-0.0932796136899011,0.284097723998397
"groupBPD",-2.19423625226533,-2.40572319058731,-1.98274212848189
