"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",8.3507911614941,8.23492339939715,8.4698422927884
"event_subcategoryEntertainment and Media Consumption",-0.0945777912550704,-0.211117753179055,0.0321772865508096
"event_subcategoryPersonal Care and Hygiene",0.0265992546352915,-0.111630871290169,0.162888936824311
"event_subcategoryCommuting",0.0291623971769427,-0.072353463449348,0.131654038138811
"event_subcategoryFamily Dynamics",-0.0544529037008306,-0.158264682049045,0.0463792812013801
"event_subcategorySocializing and Leisure",0.209285235093871,0.0739970996043258,0.343067321873713
"event_subcategoryTravel and Excursions",0.401077294949691,0.160573490971581,0.641307013767627
"event_subcategoryCultural and Community Events",0.317118387590035,-0.00550629014673003,0.632893038424783
"event_subcategoryCompanion Animal Care",-0.160706789288526,-0.419294806680842,0.098269357321845
"event_subcategoryOutdoor and Recreational Activities",0.235565064503659,0.0617369397765681,0.419476906280656
"event_subcategoryRest and Sleep",-0.177264341092518,-0.306520924625949,-0.0425177190484858
"event_subcategoryMedical Treatment and Healthcare Interactions",-0.164002780233803,-0.473630855925397,0.167668153946569
"event_subcategoryHealthcare Journeys and Visits",-0.665638058661585,-0.867856513780863,-0.476716426003111
"event_subcategoryShopping and Errands",-0.0213316327940405,-0.145789937043129,0.0994573489207924
"event_subcategoryHousehold Chores",0.0522627837252429,-0.0663445388365405,0.167415035640173
"event_subcategoryEmotional and Conflict Resolution",-1.31459657984463,-1.57382532119364,-1.033068934979
"event_subcategoryWork-Related Tasks and Projects",-0.1538747230873,-0.269426734278698,-0.0372440876749647
"event_subcategoryMental Health and Emotional State",-1.50077962177642,-1.83080033833723,-1.17887347797968
"event_subcategoryIndeterminate",-0.310925186599513,-0.43580726685189,-0.180778193218236
"event_subcategoryRomantic Partnerships",0.00300531156761178,-0.176205436905996,0.178181395465742
"event_subcategoryMood and Emotional Fluctuations",-1.18721328374956,-1.79504873429622,-0.564189892074707
"event_subcategoryFriendship Activities",0.173789203594078,0.0369528107192051,0.303066253642811
"event_subcategoryAcquaintance and Casual Interactions",-0.0913202202054747,-0.342813789863974,0.138655155058878
"event_subcategoryEducational and Academic Work",-0.288892843254592,-0.447345193455065,-0.110455008882447
"event_subcategoryProfessional Communication and Meetings",-0.215587697297012,-0.369649343430441,-0.0524074942463287
"event_subcategoryRelaxation",0.243069604818708,-0.0555971125802332,0.572769807812404
"event_subcategoryLeisure and Entertainment at Home",0.059851192350579,-0.0989730909275971,0.216901081597609
"event_subcategoryReading and Intellectual Activities",-0.42288787800627,-0.677554450369505,-0.120919246363506
"event_subcategoryGames and Hobbies",-0.136335047652093,-0.3665953494076,0.0835718050149311
"event_subcategoryFinancial and Administrative Tasks",0.110662271317841,-0.768471095929085,0.964148791499088
"event_subcategoryPhysical Health and Symptoms",-0.797170554301255,-1.52469598721953,-0.0430859628364251
"event_subcategorySports and Physical Activities",0.460473609905616,0.165007874365581,0.761672021475197
"groupBPD",-4.26596166262398,-4.58762787743889,-3.95003549625332
